	identifier	source	file	clip	clip_soft	scale	sum_stat	strand_pair	description	strand
0	CNhs11046+	fantom	/scratch4/jlinder/tillage/datasets/human/cage/fantom/CNhs11046/summary/coverage+.w5	384	384	1.0	sum_sqrt	1	CAGE:embryonic kidney cell line: HEK293/SLAM untreated	+
1	CNhs11046-	fantom	/scratch4/jlinder/tillage/datasets/human/cage/fantom/CNhs11046/summary/coverage-.w5	384	384	1.0	sum_sqrt	0	CAGE:embryonic kidney cell line: HEK293/SLAM untreated	-
2	CNhs11250+	fantom	/scratch4/jlinder/tillage/datasets/human/cage/fantom/CNhs11250/summary/coverage+.w5	384	384	1.0	sum_sqrt	3	CAGE:chronic myelogenous leukemia cell line:K562	+
3	CNhs11250-	fantom	/scratch4/jlinder/tillage/datasets/human/cage/fantom/CNhs11250/summary/coverage-.w5	384	384	1.0	sum_sqrt	2	CAGE:chronic myelogenous leukemia cell line:K562	-
4	CNhs11253+	fantom	/scratch4/jlinder/tillage/datasets/human/cage/fantom/CNhs11253/summary/coverage+.w5	384	384	1.0	sum_sqrt	5	CAGE:acute lymphoblastic leukemia (T-ALL) cell line:Jurkat	+
5	CNhs11253-	fantom	/scratch4/jlinder/tillage/datasets/human/cage/fantom/CNhs11253/summary/coverage-.w5	384	384	1.0	sum_sqrt	4	CAGE:acute lymphoblastic leukemia (T-ALL) cell line:Jurkat	-
6	CNhs11943+	fantom	/scratch4/jlinder/tillage/datasets/human/cage/fantom/CNhs11943/summary/coverage+.w5	384	384	1.0	sum_sqrt	7	CAGE:breast carcinoma cell line:MCF7	+
7	CNhs11943-	fantom	/scratch4/jlinder/tillage/datasets/human/cage/fantom/CNhs11943/summary/coverage-.w5	384	384	1.0	sum_sqrt	6	CAGE:breast carcinoma cell line:MCF7	-
8	CNhs12325+	fantom	/scratch4/jlinder/tillage/datasets/human/cage/fantom/CNhs12325/summary/coverage+.w5	384	384	1.0	sum_sqrt	9	CAGE:epitheloid carcinoma cell line: HelaS3 ENCODE, biol_	+
9	CNhs12325-	fantom	/scratch4/jlinder/tillage/datasets/human/cage/fantom/CNhs12325/summary/coverage-.w5	384	384	1.0	sum_sqrt	8	CAGE:epitheloid carcinoma cell line: HelaS3 ENCODE, biol_	-
10	CNhs12330+	fantom	/scratch4/jlinder/tillage/datasets/human/cage/fantom/CNhs12328/summary/coverage+.w5	384	384	1.0	sum_sqrt	11	CAGE:hepatocellular carcinoma cell line: HepG2 ENCODE, biol_	+
11	CNhs12330-	fantom	/scratch4/jlinder/tillage/datasets/human/cage/fantom/CNhs12328/summary/coverage-.w5	384	384	1.0	sum_sqrt	10	CAGE:hepatocellular carcinoma cell line: HepG2 ENCODE, biol_	-
12	CNhs12331+	fantom	/scratch4/jlinder/tillage/datasets/human/cage/fantom/CNhs12331/summary/coverage+.w5	384	384	1.0	sum_sqrt	13	CAGE:B lymphoblastoid cell line: GM12878 ENCODE, biol_	+
13	CNhs12331-	fantom	/scratch4/jlinder/tillage/datasets/human/cage/fantom/CNhs12331/summary/coverage-.w5	384	384	1.0	sum_sqrt	12	CAGE:B lymphoblastoid cell line: GM12878 ENCODE, biol_	-
14	CNhs12334+	fantom	/scratch4/jlinder/tillage/datasets/human/cage/fantom/CNhs12334/summary/coverage+.w5	384	384	1.0	sum_sqrt	15	CAGE:chronic myelogenous leukemia cell line:K562 ENCODE, biol_	+
15	CNhs12334-	fantom	/scratch4/jlinder/tillage/datasets/human/cage/fantom/CNhs12334/summary/coverage-.w5	384	384	1.0	sum_sqrt	14	CAGE:chronic myelogenous leukemia cell line:K562 ENCODE, biol_	-
16	ENCFF093VXI	encode	/scratch4/jlinder/tillage/datasets/human/dnase/encode/ENCSR000EJD/summary/coverage.w5	64	32	2.0	mean	16	DNASE:GM12878	.
17	ENCFF148BGE	encode	/scratch4/jlinder/tillage/datasets/human/dnase/encode/ENCSR000EJR/summary/coverage.w5	64	32	2.0	mean	17	DNASE:HEK293T	.
18	ENCFF050BDU	encode	/scratch4/jlinder/tillage/datasets/human/dnase/encode/ENCSR000EJT/summary/coverage.w5	64	32	2.0	mean	18	DNASE:HeLa-S3	.
19	ENCFF136DBS	encode	/scratch4/jlinder/tillage/datasets/human/dnase/encode/ENCSR000EJV/summary/coverage.w5	64	32	2.0	mean	19	DNASE:HepG2	.
20	ENCFF915DFR	encode	/scratch4/jlinder/tillage/datasets/human/dnase/encode/ENCSR000EMT/summary/coverage.w5	64	32	2.0	mean	20	DNASE:GM12878	.
21	ENCFF131HMO	encode	/scratch4/jlinder/tillage/datasets/human/dnase/encode/ENCSR000EMU/summary/coverage.w5	64	32	2.0	mean	21	DNASE:H1-hESC	.
22	ENCFF696IEW	encode	/scratch4/jlinder/tillage/datasets/human/dnase/encode/ENCSR000EMZ/summary/coverage.w5	64	32	2.0	mean	22	DNASE:H7-hESC	.
23	ENCFF205TKQ	encode	/scratch4/jlinder/tillage/datasets/human/dnase/encode/ENCSR000ENP/summary/coverage.w5	64	32	2.0	mean	23	DNASE:HepG2	.
24	ENCFF916JRN	encode	/scratch4/jlinder/tillage/datasets/human/dnase/encode/ENCSR000EOS/summary/coverage.w5	64	32	2.0	mean	24	DNASE:Jurkat clone E61	.
25	ENCFF413AHU	encode	/scratch4/jlinder/tillage/datasets/human/dnase/encode/ENCSR000EOT/summary/coverage.w5	64	32	2.0	mean	25	DNASE:K562	.
26	ENCFF868NHV	encode	/scratch4/jlinder/tillage/datasets/human/dnase/encode/ENCSR000EOY/summary/coverage.w5	64	32	2.0	mean	26	DNASE:K562	.
27	ENCFF565YDB	encode	/scratch4/jlinder/tillage/datasets/human/dnase/encode/ENCSR000EPC/summary/coverage.w5	64	32	2.0	mean	27	DNASE:K562	.
28	ENCFF924FJR	encode	/scratch4/jlinder/tillage/datasets/human/dnase/encode/ENCSR000EPH/summary/coverage.w5	64	32	2.0	mean	28	DNASE:MCF-7	.
29	ENCFF411ZPI	encode	/scratch4/jlinder/tillage/datasets/human/dnase/encode/ENCSR000EPJ/summary/coverage.w5	64	32	2.0	mean	29	DNASE:MCF-7	.
30	ENCFF577SOF	encode	/scratch4/jlinder/tillage/datasets/human/dnase/encode/ENCSR149XIL/summary/coverage.w5	64	32	2.0	mean	30	DNASE:HepG2	.
31	ENCFF334GMP	encode	/scratch4/jlinder/tillage/datasets/human/dnase/encode/ENCSR275ICP/summary/coverage.w5	64	32	2.0	mean	31	DNASE:H9	.
32	ENCFF971AHO	encode	/scratch4/jlinder/tillage/datasets/human/dnase/encode/ENCSR921NMD/summary/coverage.w5	64	32	2.0	mean	32	DNASE:K562	.
33	ENCFF977IGB	encode	/scratch4/jlinder/tillage/datasets/human/dnase/encode/ENCSR959ZXU/summary/coverage.w5	64	32	2.0	mean	33	DNASE:HeLa-S3	.
34	ENCFF470BSF+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR000AEC/summary/coverage+.w5	384	384	0.3	sum_sqrt	35	RNA:GM12878	+
35	ENCFF470BSF-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR000AEC/summary/coverage-.w5	384	384	0.3	sum_sqrt	34	RNA:GM12878	-
36	ENCFF617ZDV+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR000AED/summary/coverage+.w5	384	384	0.3	sum_sqrt	37	RNA:GM12878	+
37	ENCFF617ZDV-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR000AED/summary/coverage-.w5	384	384	0.3	sum_sqrt	36	RNA:GM12878	-
38	ENCFF993POP+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR000AEE/summary/coverage+.w5	384	384	0.3	sum_sqrt	39	RNA:GM12878	+
39	ENCFF993POP-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR000AEE/summary/coverage-.w5	384	384	0.3	sum_sqrt	38	RNA:GM12878	-
40	ENCFF678ITA+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR000AEF/summary/coverage+.w5	384	384	0.3	sum_sqrt	41	RNA:GM12878	+
41	ENCFF678ITA-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR000AEF/summary/coverage-.w5	384	384	0.3	sum_sqrt	40	RNA:GM12878	-
42	ENCFF812WIL	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR000AEG/summary/coverage.w5	384	384	0.3	sum_sqrt	42	RNA:GM12878	.
43	ENCFF142WGV	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR000AEH/summary/coverage.w5	384	384	0.3	sum_sqrt	43	RNA:GM12878	.
44	ENCFF980ZHM+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR000AEL/summary/coverage+.w5	384	384	0.3	sum_sqrt	45	RNA:K562	+
45	ENCFF980ZHM-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR000AEL/summary/coverage-.w5	384	384	0.3	sum_sqrt	44	RNA:K562	-
46	ENCFF132DVY+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR000AEM/summary/coverage+.w5	384	384	0.3	sum_sqrt	47	RNA:K562	+
47	ENCFF132DVY-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR000AEM/summary/coverage-.w5	384	384	0.3	sum_sqrt	46	RNA:K562	-
48	ENCFF919EXM+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR000AEN/summary/coverage+.w5	384	384	0.3	sum_sqrt	49	RNA:K562	+
49	ENCFF919EXM-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR000AEN/summary/coverage-.w5	384	384	0.3	sum_sqrt	48	RNA:K562	-
50	ENCFF552CYS+	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR000AEO/summary/coverage+.w5	384	384	0.3	sum_sqrt	51	RNA:K562	+
51	ENCFF552CYS-	encode	/scratch4/jlinder/tillage/datasets/human/rna/encode/ENCSR000AEO/summary/coverage-.w5	384	384	0.3	sum_sqrt	50	RNA:K562	-
