	identifier	source	file	clip	clip_soft	scale	sum_stat	strand_pair	description	strand
0	CNhs10471+	fantom	/scratch4/jlinder/tillage/datasets/mouse/cage/fantom/CNhs10471/summary/coverage+.w5	384	384	1.0	sum_sqrt	1	CAGE:thymus, adult	+
1	CNhs10471-	fantom	/scratch4/jlinder/tillage/datasets/mouse/cage/fantom/CNhs10471/summary/coverage-.w5	384	384	1.0	sum_sqrt	0	CAGE:thymus, adult	-
2	CNhs10473+	fantom	/scratch4/jlinder/tillage/datasets/mouse/cage/fantom/CNhs10473/summary/coverage+.w5	384	384	1.0	sum_sqrt	3	CAGE:cortex, adult	+
3	CNhs10473-	fantom	/scratch4/jlinder/tillage/datasets/mouse/cage/fantom/CNhs10473/summary/coverage-.w5	384	384	1.0	sum_sqrt	2	CAGE:cortex, adult	-
4	CNhs10475+	fantom	/scratch4/jlinder/tillage/datasets/mouse/cage/fantom/CNhs10475/summary/coverage+.w5	384	384	1.0	sum_sqrt	5	CAGE:accessory axillary lymph node, adult	+
5	CNhs10475-	fantom	/scratch4/jlinder/tillage/datasets/mouse/cage/fantom/CNhs10475/summary/coverage-.w5	384	384	1.0	sum_sqrt	4	CAGE:accessory axillary lymph node, adult	-
6	CNhs10496+	fantom	/scratch4/jlinder/tillage/datasets/mouse/cage/fantom/CNhs10496/summary/coverage+.w5	384	384	1.0	sum_sqrt	7	CAGE:intestine, adult	+
7	CNhs10496-	fantom	/scratch4/jlinder/tillage/datasets/mouse/cage/fantom/CNhs10496/summary/coverage-.w5	384	384	1.0	sum_sqrt	6	CAGE:intestine, adult	-
8	CNhs10506+	fantom	/scratch4/jlinder/tillage/datasets/mouse/cage/fantom/CNhs10506/summary/coverage+.w5	384	384	1.0	sum_sqrt	9	CAGE:intestinal mucosa, adult	+
9	CNhs10506-	fantom	/scratch4/jlinder/tillage/datasets/mouse/cage/fantom/CNhs10506/summary/coverage-.w5	384	384	1.0	sum_sqrt	8	CAGE:intestinal mucosa, adult	-
10	CNhs10512+	fantom	/scratch4/jlinder/tillage/datasets/mouse/cage/fantom/CNhs10512/summary/coverage+.w5	384	384	1.0	sum_sqrt	11	CAGE:whole body, embryo E13	+
11	CNhs10512-	fantom	/scratch4/jlinder/tillage/datasets/mouse/cage/fantom/CNhs10512/summary/coverage-.w5	384	384	1.0	sum_sqrt	10	CAGE:whole body, embryo E13	-
12	CNhs11093+	fantom	/scratch4/jlinder/tillage/datasets/mouse/cage/fantom/CNhs11093/summary/coverage+.w5	384	384	1.0	sum_sqrt	13	CAGE:mouse fibroblast cell line: CRL-1658 NIH/3T3	+
13	CNhs11093-	fantom	/scratch4/jlinder/tillage/datasets/mouse/cage/fantom/CNhs11093/summary/coverage-.w5	384	384	1.0	sum_sqrt	12	CAGE:mouse fibroblast cell line: CRL-1658 NIH/3T3	-
14	CNhs11947+	fantom	/scratch4/jlinder/tillage/datasets/mouse/cage/fantom/CNhs11947/summary/coverage+.w5	384	384	1.0	sum_sqrt	15	CAGE:Mouse Neurons - cortical,	+
15	CNhs11947-	fantom	/scratch4/jlinder/tillage/datasets/mouse/cage/fantom/CNhs11947/summary/coverage-.w5	384	384	1.0	sum_sqrt	14	CAGE:Mouse Neurons - cortical,	-
16	CNhs12130+	fantom	/scratch4/jlinder/tillage/datasets/mouse/cage/fantom/CNhs12130/summary/coverage+.w5	384	384	1.0	sum_sqrt	17	CAGE:Mouse Embryonic fibroblasts,	+
17	CNhs12130-	fantom	/scratch4/jlinder/tillage/datasets/mouse/cage/fantom/CNhs12130/summary/coverage-.w5	384	384	1.0	sum_sqrt	16	CAGE:Mouse Embryonic fibroblasts,	-
18	ENCFF391SPW	encode	/scratch4/jlinder/tillage/datasets/mouse/dnase/encode/ENCSR000CNA/summary/coverage.w5	64	32	2.0	mean	18	DNASE:C57BL/6 fibroblast of lung male adult (8 weeks)	.
19	ENCFF650OFZ	encode	/scratch4/jlinder/tillage/datasets/mouse/dnase/encode/ENCSR000CNH/summary/coverage.w5	64	32	2.0	mean	19	DNASE:C57BL/6 large intestine male adult (8 weeks)	.
20	ENCFF950ALJ	encode	/scratch4/jlinder/tillage/datasets/mouse/dnase/encode/ENCSR000CNS/summary/coverage.w5	64	32	2.0	mean	20	DNASE:NIH/Swiss NIH3T3	.
21	ENCFF540HLI	encode	/scratch4/jlinder/tillage/datasets/mouse/dnase/encode/ENCSR000COB/summary/coverage.w5	64	32	2.0	mean	21	DNASE:C57BL/6 thymus male adult (8 weeks)	.
22	ENCFF992QCB	encode	/scratch4/jlinder/tillage/datasets/mouse/dnase/encode/ENCSR000COE/summary/coverage.w5	64	32	2.0	mean	22	DNASE:C57BL/6 brain male embryo (14.5 days)	.
23	ENCFF257BKZ	encode	/scratch4/jlinder/tillage/datasets/mouse/dnase/encode/ENCSR000COF/summary/coverage.w5	64	32	2.0	mean	23	DNASE:C57BL/6 brain male adult (8 weeks)	.
24	ENCFF333MPS	encode	/scratch4/jlinder/tillage/datasets/mouse/dnase/encode/ENCSR000COG/summary/coverage.w5	64	32	2.0	mean	24	DNASE:C57BL/6 brain male embryo (18.5 days)	.
25	ENCFF424XOH	encode	/scratch4/jlinder/tillage/datasets/mouse/dnase/encode/ENCSR000COH/summary/coverage.w5	64	32	2.0	mean	25	DNASE:129 ZHBTc4-mESC	.
26	ENCFF435DKT	encode	/scratch4/jlinder/tillage/datasets/mouse/dnase/encode/ENCSR687EAW/summary/coverage.w5	64	32	2.0	mean	26	DNASE:C57BL/6 3T3-L1	.
27	ENCFF978UIY+	encode	/scratch4/jlinder/tillage/datasets/mouse/rna/encode/ENCSR000BYV/summary/coverage+.w5	384	384	0.3	sum_sqrt	28	RNA:C57BL/6J thymus tissue adult (8 weeks)	+
28	ENCFF978UIY-	encode	/scratch4/jlinder/tillage/datasets/mouse/rna/encode/ENCSR000BYV/summary/coverage-.w5	384	384	0.3	sum_sqrt	27	RNA:C57BL/6J thymus tissue adult (8 weeks)	-
29	ENCFF708IGB+	encode	/scratch4/jlinder/tillage/datasets/mouse/rna/encode/ENCSR000BZA/summary/coverage+.w5	384	384	0.3	sum_sqrt	30	RNA:C57BL/6J large intestine tissue adult (8 weeks)	+
30	ENCFF708IGB-	encode	/scratch4/jlinder/tillage/datasets/mouse/rna/encode/ENCSR000BZA/summary/coverage-.w5	384	384	0.3	sum_sqrt	29	RNA:C57BL/6J large intestine tissue adult (8 weeks)	-
31	ENCFF119WXY+	encode	/scratch4/jlinder/tillage/datasets/mouse/rna/encode/ENCSR000BZD/summary/coverage+.w5	384	384	0.3	sum_sqrt	32	RNA:C57BL/6J small intestine tissue adult (8 weeks)	+
32	ENCFF119WXY-	encode	/scratch4/jlinder/tillage/datasets/mouse/rna/encode/ENCSR000BZD/summary/coverage-.w5	384	384	0.3	sum_sqrt	31	RNA:C57BL/6J small intestine tissue adult (8 weeks)	-
33	ENCFF496FSJ	encode	/scratch4/jlinder/tillage/datasets/mouse/rna/encode/ENCSR000CGV/summary/coverage.w5	384	384	0.3	sum_sqrt	33	RNA:C57BL/6J embryonic fibroblast male embryo (13.5 weeks)	.
34	ENCFF155UMX	encode	/scratch4/jlinder/tillage/datasets/mouse/rna/encode/ENCSR285WZV/summary/coverage.w5	384	384	0.3	sum_sqrt	34	RNA:B6NCrl hindbrain tissue embryo (16.5 days)	.
35	ENCFF409AEZ	encode	/scratch4/jlinder/tillage/datasets/mouse/rna/encode/ENCSR343YLB/summary/coverage.w5	384	384	0.3	sum_sqrt	35	RNA:B6NCrl midbrain tissue embryo (14.5 days)	.
36	ENCFF369LDA	encode	/scratch4/jlinder/tillage/datasets/mouse/rna/encode/ENCSR367ZPZ/summary/coverage.w5	384	384	0.3	sum_sqrt	36	RNA:B6NCrl midbrain tissue embryo (16.5 days)	.
37	ENCFF336RLJ+	encode	/scratch4/jlinder/tillage/datasets/mouse/rna/encode/ENCSR554PHF/summary/coverage+.w5	384	384	0.3	sum_sqrt	38	RNA:C57BL/6J brain tissue male adult (10 weeks)	+
38	ENCFF336RLJ-	encode	/scratch4/jlinder/tillage/datasets/mouse/rna/encode/ENCSR554PHF/summary/coverage-.w5	384	384	0.3	sum_sqrt	37	RNA:C57BL/6J brain tissue male adult (10 weeks)	-
39	ENCFF669KGM	encode	/scratch4/jlinder/tillage/datasets/mouse/rna/encode/ENCSR559TRB/summary/coverage.w5	384	384	0.3	sum_sqrt	39	RNA:B6NCrl hindbrain tissue embryo (14.5 days)	.
40	SRS183259	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP006165/SRS183259/coverage.w5	384	384	0.02	sum_sqrt	40	RNA:4sU:3T3 RNA-seq of bulk RNA in 3t3 cells	.
41	SRS183268	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP006165/SRS183268/coverage.w5	384	384	0.02	sum_sqrt	41	RNA:4sU:3T3 Bulk_RNA_replicate	.
42	SRS715533	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP048598/SRS715533/coverage.w5	384	384	0.02	sum_sqrt	42	RNA:GSM1518044: RNA-seq from WT ESCs, replicate A; Mus musculus; RNA-Seq	.
43	SRS715534	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP048598/SRS715534/coverage.w5	384	384	0.02	sum_sqrt	43	RNA:GSM1518045: RNA-seq from WT ESCs, replicate B; Mus musculus; RNA-Seq	.
44	SRS715536	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP048598/SRS715536/coverage.w5	384	384	0.02	sum_sqrt	44	RNA:GSM1518047: RNA-seq from WT EBs, replicate A; Mus musculus; RNA-Seq	.
45	SRS715537	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP048598/SRS715537/coverage.w5	384	384	0.02	sum_sqrt	45	RNA:GSM1518048: RNA-seq from WT EBs, replicate B; Mus musculus; RNA-Seq	.
