	identifier	file	clip	clip_soft	scale	sum_stat	strand_pair	description
3636	GTEX-132QS-2526-SM-62LFJ.1	/home/drk/tillage/datasets/human/rna/recount3/adipose_tissue/GTEX-132QS-2526-SM-62LFJ.1/coverage.w5	384	64	0.02	sum_sqrt	3636	RNA:adipose_tissue
3637	GTEX-1GMR3-0826-SM-9WYT4.1	/home/drk/tillage/datasets/human/rna/recount3/adipose_tissue/GTEX-1GMR3-0826-SM-9WYT4.1/coverage.w5	384	64	0.02	sum_sqrt	3637	RNA:adipose_tissue
3638	GTEX-1HSEH-0226-SM-ACKVV.1	/home/drk/tillage/datasets/human/rna/recount3/adipose_tissue/GTEX-1HSEH-0226-SM-ACKVV.1/coverage.w5	384	64	0.02	sum_sqrt	3638	RNA:adipose_tissue
3639	GTEX-11GSP-0326-SM-5A5KW.1	/home/drk/tillage/datasets/human/rna/recount3/adrenal_gland/GTEX-11GSP-0326-SM-5A5KW.1/coverage.w5	384	64	0.02	sum_sqrt	3639	RNA:adrenal_gland
3640	GTEX-13PVR-0226-SM-5RQJI.1	/home/drk/tillage/datasets/human/rna/recount3/adrenal_gland/GTEX-13PVR-0226-SM-5RQJI.1/coverage.w5	384	64	0.02	sum_sqrt	3640	RNA:adrenal_gland
3641	GTEX-14PKV-0726-SM-686ZF.1	/home/drk/tillage/datasets/human/rna/recount3/adrenal_gland/GTEX-14PKV-0726-SM-686ZF.1/coverage.w5	384	64	0.02	sum_sqrt	3641	RNA:adrenal_gland
3642	GTEX-T6MN-2226-SM-EVYAM.1	/home/drk/tillage/datasets/human/rna/recount3/bladder/GTEX-T6MN-2226-SM-EVYAM.1/coverage.w5	384	64	0.02	sum_sqrt	3642	RNA:bladder
3643	GTEX-U3ZN-1226-SM-4DXUD.1	/home/drk/tillage/datasets/human/rna/recount3/bladder/GTEX-U3ZN-1226-SM-4DXUD.1/coverage.w5	384	64	0.02	sum_sqrt	3643	RNA:bladder
3644	GTEX-U4B1-1226-SM-4DXT7.1	/home/drk/tillage/datasets/human/rna/recount3/bladder/GTEX-U4B1-1226-SM-4DXT7.1/coverage.w5	384	64	0.02	sum_sqrt	3644	RNA:bladder
3645	GTEX-1I4MK-0002-SM-EZ6M9.1	/home/drk/tillage/datasets/human/rna/recount3/blood/GTEX-1I4MK-0002-SM-EZ6M9.1/coverage.w5	384	64	0.02	sum_sqrt	3645	RNA:blood
3646	GTEX-1LB8K-0005-SM-DIPED.1	/home/drk/tillage/datasets/human/rna/recount3/blood/GTEX-1LB8K-0005-SM-DIPED.1/coverage.w5	384	64	0.02	sum_sqrt	3646	RNA:blood
3647	GTEX-1OKEX-0006-SM-DKPQ2.1	/home/drk/tillage/datasets/human/rna/recount3/blood/GTEX-1OKEX-0006-SM-DKPQ2.1/coverage.w5	384	64	0.02	sum_sqrt	3647	RNA:blood
3648	GTEX-14DAR-2126-SM-5RQID.1	/home/drk/tillage/datasets/human/rna/recount3/blood_vessel/GTEX-14DAR-2126-SM-5RQID.1/coverage.w5	384	64	0.02	sum_sqrt	3648	RNA:blood_vessel
3649	GTEX-1JK1U-0426-SM-CYPSP.1	/home/drk/tillage/datasets/human/rna/recount3/blood_vessel/GTEX-1JK1U-0426-SM-CYPSP.1/coverage.w5	384	64	0.02	sum_sqrt	3649	RNA:blood_vessel
3650	GTEX-Y3IK-2826-SM-4WWDW.1	/home/drk/tillage/datasets/human/rna/recount3/blood_vessel/GTEX-Y3IK-2826-SM-4WWDW.1/coverage.w5	384	64	0.02	sum_sqrt	3650	RNA:blood_vessel
3651	K-562-SM-5KM2I.1	/home/drk/tillage/datasets/human/rna/recount3/bone_marrow/K-562-SM-5KM2I.1/coverage.w5	384	64	0.02	sum_sqrt	3651	RNA:bone_marrow
3652	K-562-SM-7LG4B.1	/home/drk/tillage/datasets/human/rna/recount3/bone_marrow/K-562-SM-7LG4B.1/coverage.w5	384	64	0.02	sum_sqrt	3652	RNA:bone_marrow
3653	GTEX-13FTY-0011-R11a-SM-5IJEA.1	/home/drk/tillage/datasets/human/rna/recount3/brain/GTEX-13FTY-0011-R11a-SM-5IJEA.1/coverage.w5	384	64	0.02	sum_sqrt	3653	RNA:brain
3654	GTEX-1EX96-0011-R4a-SM-ARU82.1	/home/drk/tillage/datasets/human/rna/recount3/brain/GTEX-1EX96-0011-R4a-SM-ARU82.1/coverage.w5	384	64	0.02	sum_sqrt	3654	RNA:brain
3655	GTEX-1H3O1-1726-SM-9WYSR.1	/home/drk/tillage/datasets/human/rna/recount3/brain/GTEX-1H3O1-1726-SM-9WYSR.1/coverage.w5	384	64	0.02	sum_sqrt	3655	RNA:brain
3656	GTEX-13W3W-1226-SM-5LU4H.1	/home/drk/tillage/datasets/human/rna/recount3/breast/GTEX-13W3W-1226-SM-5LU4H.1/coverage.w5	384	64	0.02	sum_sqrt	3656	RNA:breast
3657	GTEX-1GN1W-1926-SM-7P8TH.1	/home/drk/tillage/datasets/human/rna/recount3/breast/GTEX-1GN1W-1926-SM-7P8TH.1/coverage.w5	384	64	0.02	sum_sqrt	3657	RNA:breast
3658	GTEX-ZYT6-0126-SM-5E45J.1	/home/drk/tillage/datasets/human/rna/recount3/breast/GTEX-ZYT6-0126-SM-5E45J.1/coverage.w5	384	64	0.02	sum_sqrt	3658	RNA:breast
3659	GTEX-PLZ4-2226-SM-EZ6KS.1	/home/drk/tillage/datasets/human/rna/recount3/cervix_uteri/GTEX-PLZ4-2226-SM-EZ6KS.1/coverage.w5	384	64	0.02	sum_sqrt	3659	RNA:cervix_uteri
3660	GTEX-T6MO-1426-SM-4DM73.1	/home/drk/tillage/datasets/human/rna/recount3/cervix_uteri/GTEX-T6MO-1426-SM-4DM73.1/coverage.w5	384	64	0.02	sum_sqrt	3660	RNA:cervix_uteri
3661	GTEX-U3ZN-1626-SM-4DXTZ.1	/home/drk/tillage/datasets/human/rna/recount3/cervix_uteri/GTEX-U3ZN-1626-SM-4DXTZ.1/coverage.w5	384	64	0.02	sum_sqrt	3661	RNA:cervix_uteri
3662	GTEX-11P81-1426-SM-5P9JN.1	/home/drk/tillage/datasets/human/rna/recount3/colon/GTEX-11P81-1426-SM-5P9JN.1/coverage.w5	384	64	0.02	sum_sqrt	3662	RNA:colon
3663	GTEX-13W3W-2226-SM-5LU4M.1	/home/drk/tillage/datasets/human/rna/recount3/colon/GTEX-13W3W-2226-SM-5LU4M.1/coverage.w5	384	64	0.02	sum_sqrt	3663	RNA:colon
3664	GTEX-ZAB4-2226-SM-5HL97.1	/home/drk/tillage/datasets/human/rna/recount3/colon/GTEX-ZAB4-2226-SM-5HL97.1/coverage.w5	384	64	0.02	sum_sqrt	3664	RNA:colon
