	identifier	file	clip	clip_soft	scale	sum_stat	strand_pair	description
0	CNhs10608+	/home/drk/tillage/datasets/human/cage/fantom/CNhs10608/summary/coverage+.w5	384	64	1.0	sum_sqrt	1	CAGE:Clontech Human Universal Reference Total RNA, pool1
1	CNhs10608-	/home/drk/tillage/datasets/human/cage/fantom/CNhs10608/summary/coverage-.w5	384	64	1.0	sum_sqrt	0	CAGE:Clontech Human Universal Reference Total RNA, pool1
2	CNhs10610+	/home/drk/tillage/datasets/human/cage/fantom/CNhs10610/summary/coverage+.w5	384	64	1.0	sum_sqrt	3	CAGE:SABiosciences XpressRef Human Universal Total RNA, pool1
3	CNhs10610-	/home/drk/tillage/datasets/human/cage/fantom/CNhs10610/summary/coverage-.w5	384	64	1.0	sum_sqrt	2	CAGE:SABiosciences XpressRef Human Universal Total RNA, pool1
4	CNhs10612+	/home/drk/tillage/datasets/human/cage/fantom/CNhs10612/summary/coverage+.w5	384	64	1.0	sum_sqrt	5	CAGE:Universal RNA - Human Normal Tissues Biochain, pool1
5	CNhs10612-	/home/drk/tillage/datasets/human/cage/fantom/CNhs10612/summary/coverage-.w5	384	64	1.0	sum_sqrt	4	CAGE:Universal RNA - Human Normal Tissues Biochain, pool1
6	CNhs10615+	/home/drk/tillage/datasets/human/cage/fantom/CNhs10615/summary/coverage+.w5	384	64	1.0	sum_sqrt	7	CAGE:adipose tissue, adult, pool1
7	CNhs10615-	/home/drk/tillage/datasets/human/cage/fantom/CNhs10615/summary/coverage-.w5	384	64	1.0	sum_sqrt	6	CAGE:adipose tissue, adult, pool1
8	CNhs10616+	/home/drk/tillage/datasets/human/cage/fantom/CNhs10616/summary/coverage+.w5	384	64	1.0	sum_sqrt	9	CAGE:bladder, adult, pool1
9	CNhs10616-	/home/drk/tillage/datasets/human/cage/fantom/CNhs10616/summary/coverage-.w5	384	64	1.0	sum_sqrt	8	CAGE:bladder, adult, pool1
10	CNhs10617+	/home/drk/tillage/datasets/human/cage/fantom/CNhs10617/summary/coverage+.w5	384	64	1.0	sum_sqrt	11	CAGE:brain, adult, pool1
11	CNhs10617-	/home/drk/tillage/datasets/human/cage/fantom/CNhs10617/summary/coverage-.w5	384	64	1.0	sum_sqrt	10	CAGE:brain, adult, pool1
12	CNhs10618+	/home/drk/tillage/datasets/human/cage/fantom/CNhs10618/summary/coverage+.w5	384	64	1.0	sum_sqrt	13	CAGE:cervix, adult, pool1
13	CNhs10618-	/home/drk/tillage/datasets/human/cage/fantom/CNhs10618/summary/coverage-.w5	384	64	1.0	sum_sqrt	12	CAGE:cervix, adult, pool1
14	CNhs10619+	/home/drk/tillage/datasets/human/cage/fantom/CNhs10619/summary/coverage+.w5	384	64	1.0	sum_sqrt	15	CAGE:colon, adult, pool1
15	CNhs10619-	/home/drk/tillage/datasets/human/cage/fantom/CNhs10619/summary/coverage-.w5	384	64	1.0	sum_sqrt	14	CAGE:colon, adult, pool1
16	CNhs10620+	/home/drk/tillage/datasets/human/cage/fantom/CNhs10620/summary/coverage+.w5	384	64	1.0	sum_sqrt	17	CAGE:esophagus, adult, pool1
17	CNhs10620-	/home/drk/tillage/datasets/human/cage/fantom/CNhs10620/summary/coverage-.w5	384	64	1.0	sum_sqrt	16	CAGE:esophagus, adult, pool1
18	CNhs10621+	/home/drk/tillage/datasets/human/cage/fantom/CNhs10621/summary/coverage+.w5	384	64	1.0	sum_sqrt	19	CAGE:heart, adult, pool1
19	CNhs10621-	/home/drk/tillage/datasets/human/cage/fantom/CNhs10621/summary/coverage-.w5	384	64	1.0	sum_sqrt	18	CAGE:heart, adult, pool1
20	CNhs10622+	/home/drk/tillage/datasets/human/cage/fantom/CNhs10622/summary/coverage+.w5	384	64	1.0	sum_sqrt	21	CAGE:kidney, adult, pool1
21	CNhs10622-	/home/drk/tillage/datasets/human/cage/fantom/CNhs10622/summary/coverage-.w5	384	64	1.0	sum_sqrt	20	CAGE:kidney, adult, pool1
22	CNhs10624+	/home/drk/tillage/datasets/human/cage/fantom/CNhs10624/summary/coverage+.w5	384	64	1.0	sum_sqrt	23	CAGE:liver, adult, pool1
23	CNhs10624-	/home/drk/tillage/datasets/human/cage/fantom/CNhs10624/summary/coverage-.w5	384	64	1.0	sum_sqrt	22	CAGE:liver, adult, pool1
24	CNhs10625+	/home/drk/tillage/datasets/human/cage/fantom/CNhs10625/summary/coverage+.w5	384	64	1.0	sum_sqrt	25	CAGE:lung, adult, pool1
25	CNhs10625-	/home/drk/tillage/datasets/human/cage/fantom/CNhs10625/summary/coverage-.w5	384	64	1.0	sum_sqrt	24	CAGE:lung, adult, pool1
26	CNhs10626+	/home/drk/tillage/datasets/human/cage/fantom/CNhs10626/summary/coverage+.w5	384	64	1.0	sum_sqrt	27	CAGE:ovary, adult, pool1
27	CNhs10626-	/home/drk/tillage/datasets/human/cage/fantom/CNhs10626/summary/coverage-.w5	384	64	1.0	sum_sqrt	26	CAGE:ovary, adult, pool1
28	CNhs10627+	/home/drk/tillage/datasets/human/cage/fantom/CNhs10627/summary/coverage+.w5	384	64	1.0	sum_sqrt	29	CAGE:placenta, adult, pool1
29	CNhs10627-	/home/drk/tillage/datasets/human/cage/fantom/CNhs10627/summary/coverage-.w5	384	64	1.0	sum_sqrt	28	CAGE:placenta, adult, pool1
30	CNhs10628+	/home/drk/tillage/datasets/human/cage/fantom/CNhs10628/summary/coverage+.w5	384	64	1.0	sum_sqrt	31	CAGE:prostate, adult, pool1
