	identifier	file	clip	clip_soft	scale	sum_stat	strand_pair	description
0	CNhs10464+	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10464/summary/coverage+.w5	384	64	1.0	sum_sqrt	1	CAGE:placenta, adult pregnant day17
1	CNhs10464-	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10464/summary/coverage-.w5	384	64	1.0	sum_sqrt	0	CAGE:placenta, adult pregnant day17
2	CNhs10465+	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10465/summary/coverage+.w5	384	64	1.0	sum_sqrt	3	CAGE:spleen, adult
3	CNhs10465-	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10465/summary/coverage-.w5	384	64	1.0	sum_sqrt	2	CAGE:spleen, adult
4	CNhs10466+	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10466/summary/coverage+.w5	384	64	1.0	sum_sqrt	5	CAGE:liver, adult pregnant day01
5	CNhs10466-	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10466/summary/coverage-.w5	384	64	1.0	sum_sqrt	4	CAGE:liver, adult pregnant day01
6	CNhs10467+	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10467/summary/coverage+.w5	384	64	1.0	sum_sqrt	7	CAGE:cecum, adult
7	CNhs10467-	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10467/summary/coverage-.w5	384	64	1.0	sum_sqrt	6	CAGE:cecum, adult
8	CNhs10468+	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10468/summary/coverage+.w5	384	64	1.0	sum_sqrt	9	CAGE:colon, adult
9	CNhs10468-	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10468/summary/coverage-.w5	384	64	1.0	sum_sqrt	8	CAGE:colon, adult
10	CNhs10469+	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10469/summary/coverage+.w5	384	64	1.0	sum_sqrt	11	CAGE:submandibular gland, adult
11	CNhs10469-	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10469/summary/coverage-.w5	384	64	1.0	sum_sqrt	10	CAGE:submandibular gland, adult
12	CNhs10470+	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10470/summary/coverage+.w5	384	64	1.0	sum_sqrt	13	CAGE:prostate, adult
13	CNhs10470-	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10470/summary/coverage-.w5	384	64	1.0	sum_sqrt	12	CAGE:prostate, adult
14	CNhs10471+	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10471/summary/coverage+.w5	384	64	1.0	sum_sqrt	15	CAGE:thymus, adult
15	CNhs10471-	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10471/summary/coverage-.w5	384	64	1.0	sum_sqrt	14	CAGE:thymus, adult
16	CNhs10472+	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10472/summary/coverage+.w5	384	64	1.0	sum_sqrt	17	CAGE:placenta, adult pregnant day10
17	CNhs10472-	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10472/summary/coverage-.w5	384	64	1.0	sum_sqrt	16	CAGE:placenta, adult pregnant day10
18	CNhs10473+	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10473/summary/coverage+.w5	384	64	1.0	sum_sqrt	19	CAGE:cortex, adult
19	CNhs10473-	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10473/summary/coverage-.w5	384	64	1.0	sum_sqrt	18	CAGE:cortex, adult
20	CNhs10474+	/home/drk/tillage/datasets/mouse/cage/fantom/CNhs10474/summary/coverage+.w5	384	64	1.0	sum_sqrt	21	CAGE:lung, adult
