	identifier	file	clip	clip_soft	scale	sum_stat	strand_pair	description
2182	ENCFF281BWX+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAA/summary/coverage+.w5	384	64	0.3	sum_sqrt	2183	RNA:aortic smooth muscle cell male adult (21 years) and male adult (54 years)
2183	ENCFF281BWX-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAA/summary/coverage-.w5	384	64	0.3	sum_sqrt	2182	RNA:aortic smooth muscle cell male adult (21 years) and male adult (54 years)
2184	ENCFF168OLY+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAB/summary/coverage+.w5	384	64	0.3	sum_sqrt	2185	RNA:bladder microvascular endothelial cell male adult (46 years) and male adult (60 years)
2185	ENCFF168OLY-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAB/summary/coverage-.w5	384	64	0.3	sum_sqrt	2184	RNA:bladder microvascular endothelial cell male adult (46 years) and male adult (60 years)
2186	ENCFF442VHH+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAC/summary/coverage+.w5	384	64	0.3	sum_sqrt	2187	RNA:smooth muscle cell of bladder female adult (53 years) and male adult (62 years)
2187	ENCFF442VHH-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAC/summary/coverage-.w5	384	64	0.3	sum_sqrt	2186	RNA:smooth muscle cell of bladder female adult (53 years) and male adult (62 years)
2188	ENCFF153YEN+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAD/summary/coverage+.w5	384	64	0.3	sum_sqrt	2189	RNA:bronchial epithelial cell female adult (40 years) and male adult (68 years)
2189	ENCFF153YEN-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAD/summary/coverage-.w5	384	64	0.3	sum_sqrt	2188	RNA:bronchial epithelial cell female adult (40 years) and male adult (68 years)
2190	ENCFF383NTW+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAE/summary/coverage+.w5	384	64	0.3	sum_sqrt	2191	RNA:bronchial smooth muscle cell male adult (52 years) and male adult (59 years)
2191	ENCFF383NTW-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAE/summary/coverage-.w5	384	64	0.3	sum_sqrt	2190	RNA:bronchial smooth muscle cell male adult (52 years) and male adult (59 years)
2192	ENCFF226UWU+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAF/summary/coverage+.w5	384	64	0.3	sum_sqrt	2193	RNA:endothelial cell of coronary artery female adult (41 years) and male adult (77 years)
2193	ENCFF226UWU-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAF/summary/coverage-.w5	384	64	0.3	sum_sqrt	2192	RNA:endothelial cell of coronary artery female adult (41 years) and male adult (77 years)
2194	ENCFF537AIY+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAG/summary/coverage+.w5	384	64	0.3	sum_sqrt	2195	RNA:smooth muscle cell of the coronary artery female adult (53 years) and male adult (55 years)
2195	ENCFF537AIY-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAG/summary/coverage-.w5	384	64	0.3	sum_sqrt	2194	RNA:smooth muscle cell of the coronary artery female adult (53 years) and male adult (55 years)
2196	ENCFF263MKB+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAH/summary/coverage+.w5	384	64	0.3	sum_sqrt	2197	RNA:regular cardiac myocyte female adult (51 years) and male adult (48 years)
2197	ENCFF263MKB-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAH/summary/coverage-.w5	384	64	0.3	sum_sqrt	2196	RNA:regular cardiac myocyte female adult (51 years) and male adult (48 years)
2198	ENCFF366CCB+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAI/summary/coverage+.w5	384	64	0.3	sum_sqrt	2199	RNA:dermis blood vessel endothelial cell female child (16 years) and male child (13 years)
2199	ENCFF366CCB-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAI/summary/coverage-.w5	384	64	0.3	sum_sqrt	2198	RNA:dermis blood vessel endothelial cell female child (16 years) and male child (13 years)
2200	ENCFF805UDX+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAJ/summary/coverage+.w5	384	64	0.3	sum_sqrt	2201	RNA:dermis lymphatic vessel endothelial cell female adult (45 years) and male child (6 years)
2201	ENCFF805UDX-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAJ/summary/coverage-.w5	384	64	0.3	sum_sqrt	2200	RNA:dermis lymphatic vessel endothelial cell female adult (45 years) and male child (6 years)
2202	ENCFF079OMS+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAK/summary/coverage+.w5	384	64	0.3	sum_sqrt	2203	RNA:dermis microvascular lymphatic vessel endothelial cell female adult (38 years) and female adult (64 years)
2203	ENCFF079OMS-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAK/summary/coverage-.w5	384	64	0.3	sum_sqrt	2202	RNA:dermis microvascular lymphatic vessel endothelial cell female adult (38 years) and female adult (64 years)
2204	ENCFF114NWW+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAL/summary/coverage+.w5	384	64	0.3	sum_sqrt	2205	RNA:nasal cavity respiratory epithelium epithelial cell of viscerocranial mucosa female adult (70 years) and male adult (46 years)
2205	ENCFF114NWW-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAL/summary/coverage-.w5	384	64	0.3	sum_sqrt	2204	RNA:nasal cavity respiratory epithelium epithelial cell of viscerocranial mucosa female adult (70 years) and male adult (46 years)
2206	ENCFF520FAO+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAM/summary/coverage+.w5	384	64	0.3	sum_sqrt	2207	RNA:pulmonary artery endothelial cell male adult (23 years) and male adult (52 years)
2207	ENCFF520FAO-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAM/summary/coverage-.w5	384	64	0.3	sum_sqrt	2206	RNA:pulmonary artery endothelial cell male adult (23 years) and male adult (52 years)
2208	ENCFF679XSO+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAN/summary/coverage+.w5	384	64	0.3	sum_sqrt	2209	RNA:smooth muscle cell of the pulmonary artery male adult (26 years) and male adult (28 years)
2209	ENCFF679XSO-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAN/summary/coverage-.w5	384	64	0.3	sum_sqrt	2208	RNA:smooth muscle cell of the pulmonary artery male adult (26 years) and male adult (28 years)
2210	ENCFF556PAF+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAO/summary/coverage+.w5	384	64	0.3	sum_sqrt	2211	RNA:fibroblast of lung female adult (83 years) and male adult (23 years)
2211	ENCFF556PAF-	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAO/summary/coverage-.w5	384	64	0.3	sum_sqrt	2210	RNA:fibroblast of lung female adult (83 years) and male adult (23 years)
2212	ENCFF618FQK+	/home/drk/tillage/datasets/human/rna/encode/ENCSR000AAP/summary/coverage+.w5	384	64	0.3	sum_sqrt	2213	RNA:lung microvascular endothelial cell female adult (55 years) and male adult (63 years)
