	identifier	file	clip	clip_soft	scale	sum_stat	strand_pair	description
3725	tabula0+	/home/drk/tillage/datasets/human/rna3/czi/tabula0/coverage+.w5	384	64	1.0	sum_sqrt	3726	RNA3:Bladder, b cell
3726	tabula0-	/home/drk/tillage/datasets/human/rna3/czi/tabula0/coverage-.w5	384	64	1.0	sum_sqrt	3725	RNA3:Bladder, b cell
3727	tabula1+	/home/drk/tillage/datasets/human/rna3/czi/tabula1/coverage+.w5	384	64	0.3105250653361844	sum_sqrt	3728	RNA3:Bladder, bladder urothelial cell
3728	tabula1-	/home/drk/tillage/datasets/human/rna3/czi/tabula1/coverage-.w5	384	64	0.3105250653361844	sum_sqrt	3727	RNA3:Bladder, bladder urothelial cell
3729	tabula10+	/home/drk/tillage/datasets/human/rna3/czi/tabula10/coverage+.w5	384	64	1.0	sum_sqrt	3730	RNA3:Bladder, plasma cell
3730	tabula10-	/home/drk/tillage/datasets/human/rna3/czi/tabula10/coverage-.w5	384	64	1.0	sum_sqrt	3729	RNA3:Bladder, plasma cell
3731	tabula100+	/home/drk/tillage/datasets/human/rna3/czi/tabula100/coverage+.w5	384	64	1.0	sum_sqrt	3732	RNA3:Large_Intestine, fibroblast
3732	tabula100-	/home/drk/tillage/datasets/human/rna3/czi/tabula100/coverage-.w5	384	64	1.0	sum_sqrt	3731	RNA3:Large_Intestine, fibroblast
3733	tabula101+	/home/drk/tillage/datasets/human/rna3/czi/tabula101/coverage+.w5	384	64	1.0	sum_sqrt	3734	RNA3:Large_Intestine, goblet cell
3734	tabula101-	/home/drk/tillage/datasets/human/rna3/czi/tabula101/coverage-.w5	384	64	1.0	sum_sqrt	3733	RNA3:Large_Intestine, goblet cell
3735	tabula102+	/home/drk/tillage/datasets/human/rna3/czi/tabula102/coverage+.w5	384	64	1.5127314814814814	sum_sqrt	3736	RNA3:Large_Intestine, gut endothelial cell
3736	tabula102-	/home/drk/tillage/datasets/human/rna3/czi/tabula102/coverage-.w5	384	64	1.5127314814814814	sum_sqrt	3735	RNA3:Large_Intestine, gut endothelial cell
3737	tabula103+	/home/drk/tillage/datasets/human/rna3/czi/tabula103/coverage+.w5	384	64	1.0	sum_sqrt	3738	RNA3:Large_Intestine, immature enterocyte
3738	tabula103-	/home/drk/tillage/datasets/human/rna3/czi/tabula103/coverage-.w5	384	64	1.0	sum_sqrt	3737	RNA3:Large_Intestine, immature enterocyte
3739	tabula104+	/home/drk/tillage/datasets/human/rna3/czi/tabula104/coverage+.w5	384	64	1.0	sum_sqrt	3740	RNA3:Large_Intestine, intestinal crypt stem cell
3740	tabula104-	/home/drk/tillage/datasets/human/rna3/czi/tabula104/coverage-.w5	384	64	1.0	sum_sqrt	3739	RNA3:Large_Intestine, intestinal crypt stem cell
3741	tabula105+	/home/drk/tillage/datasets/human/rna3/czi/tabula105/coverage+.w5	384	64	1.0	sum_sqrt	3742	RNA3:Large_Intestine, intestinal crypt stem cell of large intestine
3742	tabula105-	/home/drk/tillage/datasets/human/rna3/czi/tabula105/coverage-.w5	384	64	1.0	sum_sqrt	3741	RNA3:Large_Intestine, intestinal crypt stem cell of large intestine
3743	tabula106+	/home/drk/tillage/datasets/human/rna3/czi/tabula106/coverage+.w5	384	64	1.0	sum_sqrt	3744	RNA3:Large_Intestine, intestinal enteroendocrine cell
3744	tabula106-	/home/drk/tillage/datasets/human/rna3/czi/tabula106/coverage-.w5	384	64	1.0	sum_sqrt	3743	RNA3:Large_Intestine, intestinal enteroendocrine cell
3745	tabula107+	/home/drk/tillage/datasets/human/rna3/czi/tabula107/coverage+.w5	384	64	1.0	sum_sqrt	3746	RNA3:Large_Intestine, large intestine goblet cell
3746	tabula107-	/home/drk/tillage/datasets/human/rna3/czi/tabula107/coverage-.w5	384	64	1.0	sum_sqrt	3745	RNA3:Large_Intestine, large intestine goblet cell
3747	tabula108+	/home/drk/tillage/datasets/human/rna3/czi/tabula108/coverage+.w5	384	64	2.2003367003367003	sum_sqrt	3748	RNA3:Large_Intestine, mast cell
